,expr
1371,$(\alpha_i S)'(x)=-\mathsf{E}[X_i\mid X=x]f(x)/x=-\kappa_i(x)f(x) / x$
1372,$Q(a)=1-g(S(a))$
1373,$\bar P_i(x)$
1374,$S\subset T$
1375,$f(L)$
1376,$D_n$
1377,"$\{1+\lambda(f-\mathsf{E} f) \mid f\ge 0, \|f\|_q\le 1 \}$"
1378,$R_M$
1379,$Z_5$
1380,$\mathbf {s_1}$
1381,$q^-=q^+$
1382,$\mathsf{E}[X_i \mid X = x]$
1383,$-\int xd(g\circ S)=\int g(S(x))dx$
1384,$y\not=z$
1385,$1-g_\tau(s)$
1386,$a=\mathsf{E}[X \mid X > q(p)]$
1387,$\rho(aX+bY) = a\rho(X) + b\rho(Y)$
1388,$\rho L = \iota Q$
1389,$W \equiv T_{(1)}=min_k{T_k}$
1390,$\lambda \rho(X)$
1391,$Y=h(Z)$
1392,$y^{\ast}-x^{\ast} < \epsilon$
1393,$\mathsf{E}[X] + \pi \mathsf{E}[((X-\mathsf{E}[X])^+)^p]^{1/p}$
1394,$U/4$
1395,$D\rho(X_0)=\{Z \}$
1396,$X > A$
1397,$\pi-\lambda\mathsf{E}[X]$
1398,"$\mathsf{Pr}(A)\in [0,1]$"
1399,$1=\mathsf Q(\Omega)\not=\sum_n \mathsf Q(\{n\})=0$
1400,$\sigma=0.25$
1401,$\Delta  \mathit{MV}_{gc}(a)$
1402,$G(x)=\mathsf{Q}(\{X\le x\}) = 1-g(1-F(x))$
1403,$\Phi'(Z(s))Z'(s)=1$
1404,$\bar q_{X_1+X_2}(s) \ge \bar q(s/2)$
1405,$K = 5.029$
1406,$1_{X>x_2}$
1407,$S\Delta X$
1408,$\mathsf{Pr}(X > x)$
1409,"$G(X_1,\dots, X_n)'=(Y_1,\dots, Y_r)'$"
1410,$\mu_L=r_L +\pi$
1411,$X=20$
1412,$\mathsf P(X=\max(X))=0$
1413,$r_a+r_l$
1414,$S_1$
1415,$\mathbf X / l(\mathbf X)$
1416,"$w, 1-w$"
1417,$\mathcal D$
1418,"$ (range.south)+(0, -1) $"
1419,$\mathsf{P}$
1420,$X=\sum_{i=1}^n X_i$
1421,$X_j=x$
1422,$\Omega_a$
1423,$S_j$
1424,$\beta>\alpha$
1425,"$f(W_t,t)$"
1426,$Z=d\mathsf{Q}/d\mathsf{P}$
1427,$\mathbf {Q_{1}\Delta X}$
1428,$p\le S(x^*)$
1429,$\phi(t)$
1430,$S(x)=p$
1431,$U/2$
1432,$\int Zd\mathsf P=1$
1433,$1+t$
1434,$a_{1}'$
1435,$r_h=-0.025$
1436,$\mathsf{E}_{\mathsf{Q}}[\cdot]$
1437,"$(x_A,g(S(x_A)))$"
1438,$p(1-\nu(p))=p\delta(p)$
1439,$\beta_i$
1440,$1-S$
1441,$p_{\mathit{pr}}$
1442,$g(0+)=\lim_{t\downarrow 0} g(t)\ge 0$
1443,$0\le \pi\le 1$
1444,$\mathsf{E}[cZ]=c\mathsf{E}[Z]=c$
1445,$Z=Z(X)$
1446,$r_a$
1447,"$\int_a^\infty g(S(x))\,dx$"
1448,$\prec X$
1449,"$\{2, 3\}$"
1450,"$(0,1,2,3,4,8,8,8,8,9)$"
1451,$n\ge 3$
1452,$=\mathrm{MV}(a-X)^+$
1453,$g(s)/(1-g(s))$
1454,$\bar P_i(a)=\mathsf{E}_{\mathsf{Q}}[X_i(a)]=\mathsf{E}[X_i(a)g'(S(X))]$
1455,"$E[Y\,dG/dF]$"
1456,$g(S_X(x))=1$
1457,$q(p)=\inf\{x \mid F_X(x)\ge p \}$
1458,$\mathit{NPV}_{\infty}$
1459,$E[X_1 | X]$
1460,$\beta_D$
1461,$\mathbf {X_{2}}$
1462,$\alpha_i(x)S(x)=\mathsf{E}[(X_i/X)1_{X>t}]$
1463,$\sigma=0.1246$
1464,$F(x;\alpha)$
1465,$D_\infty$
1466,"$(1,3)$"
1467,"$X, Y$"
1468,$\mathsf{E}_{\mathsf{Q}}$
1469,$q^-(p)=\mathsf{VaR}_p(X)$
1470,"$i=1,\ldots,n$"
1471,$P/l-1 =\rho= \iota Q / l = \iota(C/l + g)$
1472,$c(x)=\rho(\sum_i x_iX_i)$
1473,$\omega_1=0$
1474,$E_{\mathsf{Q_X}}$
1475,$M_{2}\Delta X$
1476,$S(x_#5)$
1477,"$(\nu,\nu,\dots,\nu,\nu+10\delta)$"
1478,$\mathsf{E}[X\wedge a(X)]$
1479,$\mathcal F'\subset \mathcal F$
1480,$\Delta S_0$
1481,$a_{d}$
1482,$\tilde X(x) = x$
1483,$A/L<1$
1484,$X_n(\omega)$
1485,$\mathsf{E}[X_{d}]$
1486,$\bar P^a(\mathbf{v})$
1487,$\int_0^1 f(s)ds = 1 - \alpha < 1$
1488,$\mathcal{N}_{X}(X_i(a))$
1489,$a-P$
1490,$\rho(X)=\sup_{\mathsf Q\in\mathcal Q} \mathsf{E}_\mathsf{Q}[X]$
1491,$\mathsf{Q}(A)\le g(\mathsf{P})(A))$
1492,$d=0$
1493,$x\mapsto g(s)+g'(s)(x-s)$
1494,$\mathsf{VaR}_{1-s}$
1495,$\rho_g(X\wedge a)=(\bar L + ra)/(1+r)$
1496,$(a-X)$
1497,$\omega'=1$
1498,$1/6 + 2 /6 + 4/2 + 9/6$
1499,$\rho_a(kX) = \rho(kX \wedge a(kX)) = \rho(kX \wedge ka(X)) = \rho(k(X\wedge a(X))) = k\rho(X\wedge a(X)) = k\rho_a(X)$
1500,"$500mm, enough to materially impair their franchise, is judged to be 0.4%.  This has a corresponding risk-neutral value of 2.5%.  However, they believe that a loss over $"
1501,$(a_1'-a_1)^+$
1502,$X\wedge a=\sum_i X_i(a)$
1503,$\mathbf {a}$
1504,$\int_0^a g(S(x))dx$
1505,"$Q,\iota,M$"
1506,$\mathsf{E}[p]=1$
1507,$p>p^*$
1508,$\{X\ge q(p)\}=\{X \ge 12\}$
1509,$g(1)-g(0)=1$
1510,$g(s)(1-q)$
1511,$(g(S(x^-)-g(S(x)))/(S(x^-)-S(x))$
1512,"$\sum_j X_{i,j}(a)\Delta g(S_j)$"
1513,"$\mathsf{P}(a,b]=b-a$"
1514,"$j=1,\dots,d$"
1515,$Z(\omega)=0$
1516,$l(p)= \nu(p)-\sqrt{(1-p)/p}$
1517,$\int_0^1 g(s)ds - 0.5$
1518,$\rho_{g}$
1519,$\prec_1$
1520,$S\ge (1-\epsilon)\mathsf{E}[X]$
1521,$\alpha(\mathsf{Q})$
1522,$\mathsf{E}[\mathsf{E}[Z\mid X]]=\mathsf{E}[Z]$
1523,$\epsilon v_1$
1524,"$\phi(p) = (1-\alpha)^{-1}1_{[1-\alpha, 1)}(p)$"
1525,$S(M)=0$
1526,$c\ge 0$
1527,$p_1=1$
1528,"$x_{1,i}+x_{2,k(i)}$"
1529,"$(x_1, x_2)$"
1530,$\alpha_i'(x) \to 0$
1531,"$\displaystyle\int_0^{F(a)} \kappa_i(q(p))\,dp + a\alpha_i(a)S(a)$"
1532,$\bar P(a)$
1533,$q(U)$
1534,$\iff\rho$
1535,$F_g(x)$
1536,$Q(a) = 1-P(a)= \nu F(a)$
1537,$\mathsf P(\{x\})=0$
1538,$\mathsf{E}[X_2]=22.75$
1539,$ = \mathsf{E}_{\mathsf{Q}}[X_i\mid X= x]$
1540,$1_V$
1541,$R_Q$
1542,$\mathcal D:=\{X\mid X\preceq_2 Y \}$
1543,"$X_{j,i}$"
1544,$g(1-F(x))=1-\tilde p$
1545,$p'$
1546,$\beta_i(a)g(S(a))$
1547,"$A\subset[0,\infty)$"
1548,$X_1/X$
1549,$x$
1550,$q_{\mathbf{v}}(p)$
1551,$\rho(X) = \rho(X\wedge a) + \rho((X-a)^+)$
1552,$q^-(p)=\sup\ \{ x\mid \mathsf{Pr}(X < x) < p \}$
1553,$1\not\in S$
1554,$\mathsf{VaR}_{0.99}(X)=1100$
1555,$X_n=1/n$
1556,$\rho_g(X)=\mu/b>\mu$
1557,$<1$
1558,$S(X)$
1559,$a=kP+Q$
1560,$X\wedge a = \sum X_i(a)$
1561,$\mathsf{TVaR}_{p_0}(X)=\mathsf{E}[X \mid A]$
1562,$A\subset \{ Z=0 \}$
1563,$Z\circ T_i$
1564,$a(X_i; X)\le \sup(X_i)$
1565,"$Y_{1,2}$"
1566,$M_{2}$
1567,$x \le 300$
1568,$\implies c_i\ge 0$
1569,$F(x)=1-s$
1570,$h(0.9) = 1-\sqrt{0.1} = 0.684$
1571,"$\alpha = 1, \kappa = 0.2$"
1572,$(8)(0.25)+(10)(0.25)=4.5$
1573,$W_0=0$
1574,$Q=S$
1575,$X^{(d)}_i(a):=(X_i-d)^+$
1576,${\mathcal{M}}$
1577,$X = X_1 + X_2$
1578,$V_t$
1579,"$\mathsf P(\{ \omega\mid X(\omega)=X(\omega_0), \omega \le \omega_0 \})$"
1580,$m_3 := m_2$
1581,$g(s)=(s+\iota)/(1+\iota)$
1582,$\iota = \delta/\nu$
1583,$r_X= r_f + \beta_X(r_m-r_f)$
1584,$Z\circ T\in \mathcal Q$
1585,$\mathbf {s}$
1586,$Z\succeq_2 \mathsf{E}[Z\mid X]$
1587,$\rho(X_1) \ge P_1$
1588,$a-X$
1589,$P(A)=1-p$
1590,$10+0$
1591,$\phi'(p)=-g''(1-p)>0$
1592,"$\mathsf{TI,\ MON,\ SA,\ PH}$"
1593,$\Delta_1=a_1'-a_1$
1594,$\mathit{RDS}_k$
1595,$t=-ln(1-p)$
1596,$C_i=c_i$
1597,$\lim_{s\to 1} (g(s)-s)/(1-s) = \lim_{s\to 1} 1-g'(s)$
1598,$\rho_i(X)$
1599,$v(A\cap B) + v(A\cup B)\le v(A)+v(B)$
1600,$\mathsf{TVaR}_{0.5}$
1601,"$X_1, X_2$"
1602,$\rho=\sup$
1603,$\mathsf{E} X + c\mathsf{E}[((X-\tau)^+)^p]^{1/p}$
1604,$m_i$
1605,$\mathsf{E}[g(X_n)]\to \mathsf{E}[g(x)]$
1606,$k\in\mathbb{R}$
1607,$g'(s) = as^{a-1}$
1608,$q(p)=F^{-1}(p)$
1609,$E_4$
1610,"$\psi_{X, m}(u)$"
1611,$f=(1-p)^{-1}1_A$
1612,$<0$
1613,$X=X_1 + X_2$
1614,$G=g$
1615,$-q_{-Y}^-(1-p)$
1616,"$\rho(\lambda P,\lambda R,\lambda a)=\lambda\rho(P,R,a)$"
1617,$1+bf$
1618,$Y_j$
1619,$dP_g/dP_X$
1620,$\mathsf{E}[X|X>x]=x+\mathsf{E}[X]$
1621,$M=g-S$
1622,$FL$
1623,$\int gS(x)dx=\int xg'(S(x))P_X(dx)$
1624,$\mathit{MV}_{ro}(a) = a-\rho(X_{-1}\wedge a)$
1625,$\mathcal V(X)=\mathsf{E}[X]+c\mathsf{E}[X^2]$
1626,$n+1$
1627,$g'(s)=\phi(1-s)$
1628,$X_i(a)\not= X_i\wedge a_i$
1629,$\lim_{x\downarrow x_0} F(x)=F(x_0)$
1630,$F(w) = 1-\exp(-w)$
1631,$\mathsf{E}[X(1_{U_X\ge p}-B)]=\mathsf{E}[(X-m)(1_{U_X\ge p}-B)]$
1632,$B_i^c$
1633,$\Omega_a := \{\omega\in \Omega \mid (X\wedge a)=a \}$
1634,$1/10$
1635,$\mathsf{Q}_k$
1636,$Q_i(a)$
1637,$Q>0$
1638,$r_h-\mu_L$
1639,$s_j$
1640,$\beta g(S)$
1641,$\rho(W)=\mathsf{E}[W]+\lambda\sigma(W)$
1642,$\ge 0$
1643,$E[u_j(W_j - X_j)]$
1644,$\phi((x-\mu)/\sigma)/\sigma$
1645,$X_{2}$
1646,$E[X \wedge x+a]-E[X \wedge a]$
1647,$\mathsf{TVaR}_p(X)=25$
1648,$X-(1+r)T$
1649,"$\int_0^1 a'(tx)\,dt=\int_0^1 a(1)\,dt = a(1)=a'(x)$"
1650,$ (#1)+(#3) $
1651,$g=F_G^{-1}(p_{\mathit{pr}})-1$
1652,$X_{2}(a)$
1653,$g(s)=s(1-s)$
1654,$\mathsf{VaR}_{0.995}(U)-0.5=0.495$
1655,$\kappa_2(10)$
1656,$\lambda < 0$
1657,$\mathit{ROE}(s) = fs/(1-f-s)$
1658,$p_i$
1659,$X_m$
1660,$g(t) = r_0 + (1-r_0)t$
1661,"$Y_{1,1}$"
1662,$s > s^*$
1663,$\theta$
1664,$g(s)=s^{1/2}$
1665,$X\wedge a=a$
1666,$\mathsf{Pr}(X < x)=1/6=\mathsf{Pr}(X\le x)$
1667,$P=l + \iota Q$
1668,$X-Y$
1669,$\log(\mathit{ROL}) = a + b \log(\mathit{EL}) + b X$
1670,$q_{X_1+X_2}(p) \le q_{X_1}(p) + q_{X_2}(p)$
1671,$k\ge 0$
1672,$\Phi'(z)=\phi(z)$
1673,$q^-(p)=\inf \{ x \mid F(x) \ge p \}$
1674,$\rho_X(X_i) \ge \mathsf{E}[X_i]$
1675,"$g'(s)=(1-p)^{-1}1_{[0,1-p]}$"
1676,$X(\mathbf{v})=\sum_i v_iX_i$
1677,$s_0$
1678,"$t=0,1$"
1679,$d^\ast = 2g^\ast-1$
1680,"$(s_1,g(s_1))$"
1681,$g(s)=s$
1682,$0\times\infty=0$
1683,"$\bar Q_{0,t}:=a_{0,t}-\bar P_{0,t}$"
1684,$q_X(p)$
1685,$\rho_c$
1686,$\mathbf {X\wedge a}$
1687,$M(a)=g(S(a))-S(a)$
1688,$\rho(X_n)=\rho(0)=0$
1689,$\mathbf {X}$
1690,"$\displaystyle\int_0^a \kappa_i(x) f(x)\,dx + a\alpha_i(a)S(a)$"
1691,$\bar\iota = 0.12$
1692,$\mathsf P(X=\sup(X))=0$
1693,$\mathsf{E}[Y\mid\mathcal F']=\mathsf{E}[Y]$
1694,$\alpha_2(98)=0.9$
1695,$p\delta(p)/p\nu(p)=\iota(p)$
1696,$g_\tau(1)=1$
1697,"$H(A, L, t)=LH(A/L, 1, t)$"
1698,$g_2F$
1699,$X=X_0+X_1$
1700,"$697.6 billion in 2016, $"
1701,$\bar Q=53.031$
1702,$\mathsf{P}(\{n\})>0$
1703,$c(S\cup\{i\})=c(S\cup\{j\})$
1704,$\mu_L=0.03$
1705,$Q_0=\rho(V_0)=\rho(X_1)$
1706,$g'(s-)=g'(s+)$
1707,$U = X + Y$
1708,$B=B(p)$
1709,$9+1=10+0$
1710,$n=67$
1711,$a(X(\mathbf{v}))$
1712,$v(\Omega)=1$
1713,$p_Y=1-p_R$
1714,"$p\,da$"
1715,$t\mapsto \rho(X+tY)$
1716,$Y^S$
1717,$g'(S(x)) = (1-p)^{-1}1_{x >\mathsf{VaR}_p(X)}$
1718,$E_{\mathsf{Q_X}}[X_i(a)]$
1719,$\rho(X)\le \rho(Y)$
1720,$1-\tilde p=g(1-p)$
1721,$R_f-R_L>0$
1722,$P = \log(\mathsf{E}[e^{\pi X}])/\pi$
1723,$\rho_c(X)$
1724,$X^\star$
1725,$X\wedge a'$
1726,$\mathsf{E}[\Pi]$
1727,$0.675=(6.258/7.613)^2$
1728,$q<1$
1729,$\alpha_1(90) = (0.0909 \times 0.0625 + 0.1 \times 0.0625)/(0.0625+0.0625)=0.0955$
1730,$g(Q)$
1731,"$X_2=0,0,0,0,1,1,1,4,24, 500$"
1732,$\bar P_i$
1733,$Z=\mathsf{E} Z$
1734,$a(X)=3.769$
1735,"$\rho(P,R,a)=\sqrt{(0.4P)^2+(0.25R)^2+(0.1a)^2}$"
1736,$\exp(x)$
1737,$X_j$
1738,"$(anch.west |- lee.north)+(-0.125,0.25)$"
1739,$\ge\mathsf{E}[X_i]$
1740,$g(s)=20s\wedge 1$
1741,$f(x_p)$
1742,$\{X=q_X(p) \}$
1743,$\mathsf{E}[X_i\mid X=x]$
1744,$EL(a)$
1745,$30-11=19$
1746,$x\in\mathbb{R}$
1747,$p_R<0.5$
1748,$\beta_{1}$
1749,$g(S(a))\ge S(a)$
1750,$r=16$
1751,$\beta_i(a)$
1752,$N=71$
1753,$\rho(X_1+X_2)\le \rho(X_1)+\rho(X_2)\le 0$
1754,$a_{gc}$
1755,"$1 between any of the layers, then $"
1756,$\mathcal{M}$
1757,"$\sum_i \rho(X_i, p^*)=a$"
1758,$\int_0^\infty g(S(x))dx$
1759,$t=1-p$
1760,$\rho'(x)=U'(-x)$
1761,$D\rho_X(X_i) \ge \mathsf{E}[X_i]$
1762,$\mathsf{Pr}(B)=\mathsf{Pr}(A)$
1763,$x=\mathsf{VaR}_{0.99}(X)$
1764,$\alpha_i(x)-\kappa_i(x)/x=0$
1765,$x\mapsto |x|$
1766,$\mathsf{Pr}(X_{-1}<a_{ro})=0$
1767,$n\ge 2$
1768,$D$
1769,$S(y_j-)-S(y_j) =\mathsf{Pr}(X=y_j)$
1770,$\sigma(X)>\sigma(Y)=0$
1771,$D\rho_X(X_2)$
1772,$\beta_i(a)g(S(a))=\mathsf{E}_{\mathsf{Q}}[(X_i/X) \mid X>a]g(S(a))=\mathsf{E}_{\mathsf{Q}}[(X_i/X) 1_{X>a}]$
1773,$\rho_g(X)=\mathsf{E}[X]$
1774,$L_d^l(x)$
1775,$\beta_1g(S)dX$
1776,$p_j=\Delta S_j$
1777,$x<y$
1778,$Z(\omega)>1$
1779,$E[s|t]$
1780,$\mathsf{Q}(A)=\mathsf{E}_\mathsf{Q}[1_A]$
1781,"$C(a)=\int_a^\infty S(x)\,dx + \tau a$"
1782,$\beta=d^\ast-d$
1783,$-0.00002$
1784,$y=0$
1785,$L_X$
1786,$\lambda=0.5$
1787,$g(s)=(1-p)^{-1}s\wedge 1$
1788,$\sum M_i\Delta X$
1789,$1\le x \le 2$
1790,$f(x) \ge f(x_0) + f'(x_0)(x-x_0)$
1791,"$1,\dots,m$"
1792,$X\in L_p$
1793,$n\mathsf{Pr}(Y\le y_c)$
1794,$x=1.5$
1795,$u^{iv} \le 0$
1796,$1_{X > x}$
1797,$S_{X_i}$
1798,$xS(x)\to 0$
1799,$(a-X)^+=a-(X\wedge a)$
1800,"$j=0,1,\dots, n'$"
1801,$\mathsf{P}(\omega)$
1802,$\bar Q=a-\bar P$
1803,"$\mathbf {X\,p}$"
1804,$SdX$
1805,$\sqrt{p}$
1806,$L^p$
1807,$\mu<0$
1808,$\mathsf{E}[Y_{d}]=\sum_{s>d} \mu_s$
1809,"$X_{i,i}(a)=X_{i,j}\dfrac{X_j\wedge a}{X_j}$"
1810,$\mathscr{M}$
1811,$ so $
1812,$1/4$
1813,$\mathsf{E} X+\lambda\sigma(X)$
1814,$\lambda\ge 0$
1815,$d\bar S(a)/da=S(a)$
1816,$(\alpha S)'(x)=-\kappa_i(x)f(x)/x$
1817,$\sup f=1$
1818,"$X_{t-2,3}$"
1819,$\beta_i(x)/\alpha_i(x)<S(x)/g(S(x))$
1820,$S(M-) > 0$
1821,$\bar\nu a$
1822,$a(1-f)$
1823,$X\succeq Y$
1824,$p_R$
1825,$\mathsf{E}[p]\not=1$
1826,$s_1 < s_2$
1827,$1$
1828,$\mathbb{Q}$
1829,$a_x=1/\lambda$
1830,$f:\mathbb{R}\to\mathbb{R}$
1831,$\mathsf{E}[1_{U < s}]=s$
1832,"$I=[0,1]$"
1833,$\rho(X)\le 0$
1834,$B(0.5)$
1835,"$i=1,2,\dots$"
1836,$r_D=1-D/L$
1837,"$\min(X,a)$"
1838,$\mathbf {t-1}$
1839,$\Delta S$
1840,$ is the total return on invested assets and $
1841,$\mathsf{E}[(A-L)^+]/\mathsf{E}[L]$
1842,$X(\psi)=X(\omega)$
1843,$X_j\ge 0$
1844,$\mathcal{S}$
1845,"$i=1,\dots, n$"
1846,"$\rho_{a,\tau}(X)=v\rho(X\wedge a) + da$"
1847,"$(brR15 |- lee.south)+(-0.125,-0.25)$"
1848,$n\ge N$
1849,$x_1 \wedge x_2$
1850,$X_s = X_{s_1} + X_{s_2}$
1851,$<p$
1852,$a<b_h$
1853,$\mathsf{TVaR}_p(X) := X_{N-1}$
1854,$c_i=c_j$
1855,$\mathscr{Q}$
1856,$\sigma^2$
1857,"$\Delta_t:=a_{0,t}'-a_{0,t}$"
1858,$\Delta X'$
1859,$F(x)=\mathsf{Pr}(X\le x)$
1860,"$X_{t-2,2}$"
1861,$\rho((X-a)^+)=0.273$
1862,$\alpha-A(n)$
1863,$\mathsf{Pr}(U\le \omega)=\omega$
1864,$\mathsf{E}[XZ]=\mathsf{E}[X\mathsf{E}[Z\mid X]]=0$
1865,$\epsilon\to 0$
1866,$Z(\omega)$
1867,$\mathbf {f}$
1868,$p^-=\mathsf P(X < q_X(p))$
1869,$X(\omega)$
1870,$p < 1/2$
1871,$\phi=v(u^{-1})$
1872,$\Delta X_j$
1873,$\mathsf{E}_{\mathsf Q}[X_i(a)]=\mathsf{E}[X_i(a)g'(S(X))]$
1874,$\rho(X+tY)$
1875,$p\not=0.5$
1876,$\mathscr{O}(f)=\{f \circ T \mid T\in \text{MPT}\}$
1877,$g(s)=m(s)+s$
1878,$\rho(X\wedge a)=\mathsf{E}[(X\wedge a)Z(X)]$
1879,$\mathbf  s$
1880,$\sigma(X)$
1881,$\alpha$
1882,$1/S(x)$
1883,$\mathit{NPV}_1 = 0$
1884,$X_1+X_2\not\in\mathcal A$
1885,$(1-s)\phi'(s)$
1886,$d^\ast$
1887,$\mathbf {\Omega}$
1888,$\mathsf{E}[Y\mid \mathcal F']$
1889,$\mathsf{Pr}(X\le x)$
1890,"$\mu+h\sigma, \sigma$"
1891,$\mathsf{E}_F(h(X))$
1892,$pl_p$
1893,$r=0$
1894,$h = 1$
1895,$1-\exp(-q(p)/\mu)=p$
1896,$\mathsf{Pr}\{a-X\le 10\}$
1897,"$t=0.06405%.  The prior has a material influence on the posterior mean.  This makes the posterior mean a ""conservative"" estimate of $"
1898,"$(2,3)$"
1899,"$j=1,\dots, d$"
1900,$\{X\le x\}$
1901,$\mathsf{TVaR}_{0.8}(X)=8.5$
1902,$L_c$
1903,"$f(x,t)$"
1904,$\rho(X)=\rho(Y)$
1905,$\bar P_d=\mathsf{E}[Y_{d}]+\lambda\sigma(Y_{d})$
1906,"$(x_1,\dots,x_n)$"
1907,$46.156+5.5=51.656$
1908,$h>0$
1909,$x_0 \in \{ x \mid F(x) \ge p \}$
1910,"$\bar P(\mathbf{v}, a)$"
1911,$x\mathsf{E}[X_i/X\mid X>x]$
1912,$x_2(S(x_1)-S(x_2))=x_2f(x_2)$
1913,$r_h=0$
1914,"$S=[0,2\pi]$"
1915,$gn$
1916,$p=F(x)$
1917,$1/g'(s)$
1918,$z(x)$
1919,$-\sigma^2u''(w)\approx -cu'(w)$
1920,$r=0.1$
1921,$\mathsf{CTE}_p(X) := \mathsf{E}[X \mid X \ge \mathsf{VaR}_p(X)]$
1922,$\beta_1$
1923,"$i=1,\dots, M$"
1924,$\mathsf{E}_\mathsf{P}[X]$
1925,$S^{-1}(g_i)$
1926,$\mathbf {\Delta X'}$
1927,$d =\iota/(1+\iota)$
1928,"$\mathsf{E}[X_{t,d}\mid \mathcal F_{\tau}]$"
1929,$Z=g'(S_X(X))$
1930,$E_i\cap E_j = \mathsf{var}nothing$
1931,$i\not\in S$
1932,$s+\delta p$
1933,"$X_1=1+cos(X_3), X_2=1-cos(X_3)$"
1934,"$\mathcal F'=\{\mathsf{var}nothing, \Omega \}$"
1935,$(1-p)^{-1}1_A$
1936,$\rho=P/L-1=M/L$
1937,$F(X)$
1938,$\lambda=$
1939,$\rho_g(X)=352$
1940,$x=0.5$
1941,$A = -\log(p) = 5.298$
1942,$\rho(X_{-1}\wedge a)$
1943,$g'(S)dF(x)$
1944,$-norm by integrating against a function with $
1945,$(X-d)^+$
1946,"$x=1000,2000,\ldots$"
1947,$\mathsf{E} X +\lambda {(X-\mathsf{E} X)^+}_1$
1948,$\int_0^\infty S(x)dx$
1949,$a=100$
1950,$+ \mathit{PV}_{r_f}(\text{Inv Inc tax})$
1951,$S(x_1)(x_2-x_1)$
1952,$\mathsf{E}[(X-m)(1_{U_X\ge p}-B)] = 0$
1953,$m=q(p)$
1954,$wx + (1-w)y\in C$
1955,$m_X$
1956,$A(\text{Bernoulli})$
1957,"$X,Y$"
1958,$\tilde Q$
1959,"$Y_{0,2}$"
1960,"$\mathbf {X\,\Delta g(S)}$"
1961,$E[T]=s$
1962,$\max(X)<\infty$
1963,$\rho(Z_2)$
1964,$\alpha_2SdX$
1965,$\mathbf {x_0}$
1966,$c\ge 1/2$
1967,$g(s)=\dfrac{s+\iota}{1+\iota}$
1968,"$X_i(\mathbf{v}, a)$"
1969,$X \prec_n^* Y$
1970,"$X\wedge a'=\min(X, a')$"
1971,$d=2$
1972,$s^\alpha$
1973,$X(x)=\sum_i x_iX_i$
1974,$Z(\omega):=(d\mathsf{Q}/d\mathsf{P})(\omega)$
1975,"$\{\, (\mathsf{E}_\mathsf{Q}[X_i], \mathsf{E}_\mathsf{Q}[X]) \mid \mathsf Q\in\mathcal Q \, \}$"
1976,$1/6\le x < 2/6$
1977,$p\ge r\ge 1$
1978,$\mathbf{B}(0)=\mathbf{P_0}$
1979,$Q=(a-EL)/(1+\iota)$
1980,"$\rho(P,R,a)$"
1981,$t\mapsto v^t$
1982,$\{ X=x\}$
1983,$\omega \in \Omega$
1984,"$j, p, S, \kappa_1, \Delta X, \Delta(X\wedge a)$"
1985,$0.375/1.5 = 0.25$
1986,"$a(v_1(1+\epsilon),v_2)=a(v_1,v_2)+da$"
1987,$M_i$
1988,$\alpha_i$
1989,$p=1-\exp(-t)$
1990,$\rho(X - b)=\rho(X)-b\le 0$
1991,"$\boldsymbol{j, p, S, \kappa_1, \Delta X, \Delta(X\wedge a)}$"
1992,$x\ge 0$
1993,$\rho(\lambda X) \le\lambda\rho(X)$
1994,"$(1,1,\dots,1,1)$"
1995,$\mathbf {\Delta X}$
1996,"$1-p, p$"
1997,$\mathsf{Pr}(X_n\in A)\to\mathsf{Pr}(X\in A)$
1998,$S(x)=(k/(k+x))^\beta$
1999,$p = 0$
2000,$x_1$
2001,$x=X(1-g^{-1}(1-\tilde p))$
2002,$s < 1$
2003,$\cdot$
2004,$a'=a(1+r)$
2005,$\phi(\cdot)$
2006,"$i \in \{1,\dots,4\}$"
2007,$\gamma=r_f$
2008,$\Delta A$
2009,$P(X_{-1}(a))$
2010,$0\le\lambda\le 1$
2011,$\max$
2012,$\Omega_0$
2013,$0\le v\le 1$
2014,$Y(\omega)=1$
2015,$Q=A-P$
2016,$0.75$
2017,$a+y$
2018,$\mathsf{Pr}$
2019,$0.25$
2020,$s=\mathit{EL}$
2021,"$(1-g(S(x)),x)$"
2022,$\nu+10\delta$
2023,$1=ps_g + (1-p)s_b$
2024,$U(1)=2$
2025,$\Phi(-d^*)>0$
2026,$P = \mathsf{E}[X] + \pi \mathsf{E}[|X-\mathsf{E}[X]|^p]^{1/p}$
2027,$x\to\infty$
2028,$g(pq)=g(p)g(q)$
2029,$\frac{d}{dp}(1-p)^{-1}=(1-p)^{-2}=q^{-2}$
2030,$\rho(X)<\infty$
2031,$X_0=\mathsf{E}[X]$
2032,$\mu_L=r_L + \pi$
2033,$\mathsf{E}[X_i(v_i)]=v_i\mathsf{E}[X(1)]$
2034,"$k=(0.04, 0.4)$"
2035,"$A,B$"
2036,$\Delta S=p$
2037,$N(1-p)$
2038,"$(\omega'=1, \omega'')\in B_k$"
2039,$\sum\mathsf{E}[C_i^2]=\sum m_i(1+v_i^2)$
2040,"$p_0,\dots, p_m$"
2041,$\tilde Z$
2042,$\tilde X+X$
2043,$dF(x) = dp$
2044,$x_0 < \mathsf{TVaR}_{p_0}$
2045,$\lambda\sigma$
2046,$Z_j$
2047,$m'(1) \to -1$
2048,$g(S_j)$
2049,$g(s(t)) = m(t)+s(t)$
2050,$A\subseteq \mathbb{R}^N$
2051,$f(x)\ge f(x_0) + s(x-x_0)$
2052,$p=0.9982$
